2,12/6/2020,12:31:29,25.3,99.8,49.6,6.89864E-08,1.84341E-05,,1338.749,402.385,0,332.838,304.136,650.419,769.502,473.301,730.428,744.927,819.749,764.142,770.934,666.756,725.432,914.189,901.473,1059.783,846.262,654.993,869.121,990.663,1037.188,1138.957,1143.624,1174.682,947.97,1310.942,1645.93,1591.529,1696.144,1685.194,1523.335,2125.336,1895.922,1978.28,1971.307,2069.818,2203.829,1999.093,2187.18,2189.015,2257.818,2475.164,2220.55,2243.344,2019.62,2490.684,2289.723,2384.779,2550.955,2844.764,2818.646,2786.443,2892.407,3299.843,3108.622,3285.228,3667.515,4049.718,3764.128,3427.798,3734.079,3839.483,3568.769,4151.441,3269.06,3690.839,3547.902,3319.306,3481.317,3015.695,2888.078,2863.336,2733.45,2093.03,2320.151,1847.801,1675.081,1876.663,1677.219,1524.935,1334.646,1277.154,1264.896,1046.341,676.561,839.455,657.977,453.046,450.759,600.871,350.443,314.978,340.998,115.565,235.062,153.745,69.116,105.542,125.405,36.504,0,18.841,0,19.611,0,0,0,0,300,8,50,1,3,0.322,0,11.54,9618.35,14.3,749.9,1,3.93,7.47,782.3,ON,110.067,124.887,97.688,151.247,2.108,2714.506,Long Term,MASIN,,,,,Normal Scan,
3,12/6/2020,12:36:59,25.5,99.8,49.9,6.90451E-08,1.84436E-05,,595.596,268.512,121.896,0,202.923,185.969,342.254,157.879,511.644,745.379,378.575,588.142,826.452,718.44,677.4,503.044,644.21,897.15,988.219,1067.374,1217.242,1123.176,1343.251,1357.602,1366.009,1181.615,1282.331,1224.538,1785.774,1460.704,1635.012,1649.745,1728.325,1392.541,2076.618,2300.412,2235.132,2344.004,2540.58,1975.739,2382.719,2429.44,2274.363,2252.992,2381.604,2528.944,2310.246,2410.841,2231.039,2555.089,2464.218,2426.082,2725.417,2738.601,2835.25,2956.082,2970.074,3376.389,2997.263,3422.357,3418.513,3614.109,3605.265,3734.838,4079.487,3767.302,3734.337,4028.259,3232.729,3697.736,3382.172,3195.56,3023.185,2789.672,2710.529,2724.51,2307.478,2550.216,2125.315,2347.742,1806.065,1535.785,1551.334,1663.769,1586.959,1151.243,867.685,689.413,744.114,770.261,561.715,476.341,373.791,342.575,236.465,251.291,130.647,153.758,155.525,123.15,71.666,18.254,37.211,18.843,19.22,0,0,0,0,0,300,8,50,1,3,0.322,0,11.52,9634.09,14.3,749.9,1,3.93,7.47,782.5,ON,113.04,129.167,102.004,145.902,2.065,2745.57,Long Term,MASIN,,,,,Normal Scan,
4,12/6/2020,12:42:29,25.5,99.8,50.1,6.90451E-08,1.84436E-05,,740.068,667.401,242.418,110.427,0,277.495,595.867,471.253,218.188,674.348,627.976,585.401,603.29,766.28,1011.614,956.18,513.146,974.554,1188.012,1022.291,1240.076,987.061,1064.774,1352.533,1102.775,1116.075,1520.996,1130.94,1881.423,1469.402,1548.476,1667.843,1695.796,2017.906,2073.249,2179.527,1874.626,2311.413,2502.358,1960.689,2342.974,2260.637,2017.578,2427.454,2094.162,2231.23,2018.752,2288.884,2061.111,2528.747,2490.167,2549.651,2355.632,2633.73,2600.305,2733.082,2945.967,3086.319,3420.162,3258.614,3523.716,3521.552,3788.804,3450.709,3340.644,3817.876,3234.687,2942.49,2781.547,2941.894,2416.344,3082.675,2392.679,2218.409,2128.452,2098.031,1831.038,1640.506,1463.021,1265.576,1326.292,1311.223,1297.524,1080.287,911.012,643.021,811.457,755.302,791.387,722.654,580.786,313.788,388.517,254.85,210.451,168.028,230.847,68.125,120.583,35.074,71.44,36.393,18.547,18.784,0,19.552,0,20.24,0,0,300,8,50,1,3,0.323,0,11.52,9634.09,14.3,749.9,1,3.93,7.47,781.1,ON,104.851,121.102,94.71,151.247,2.087,2521.502,Long Term,MASIN,,,,,Normal Scan,
5,12/6/2020,12:47:59,25.6,99.8,50.1,6.90745E-08,1.84484E-05,,744.867,0,0,111.085,101.503,93.023,427.985,157.934,511.82,474.498,441.823,235.326,716.471,769.953,583.91,728.924,902.096,693.395,714.486,853.395,695.699,495.616,867.461,882.128,972.582,1284.629,1184.854,1135.472,1242.627,1145.226,1662.106,1585.281,1618.619,2185.405,2116.328,2185.333,2282.47,2220.998,2446.749,2137.845,2314.561,2368.223,3080.17,2322.161,2482.1,2510.24,2789.257,2830.402,2655.097,2640.229,2478.472,3189.046,3254.305,3061.236,3328.372,3336.764,3098.89,3805.759,3303.876,3955.861,3635.639,3799.065,3879.512,3777.685,4290.811,3487.294,3933.912,3576.091,3529.941,3613.357,3387.886,3182.54,3254.723,2850.277,2481.628,2579.629,2213.719,2271.995,2072.645,1678.896,1520.397,1495.79,1292.898,988.586,1259.427,946.185,843.168,845.2,779.633,513.536,536.677,454.543,374.418,282.655,232.431,283.921,282.206,205.026,172.815,52.78,53.752,54.765,37.212,18.844,0,0,0,0,0,0,300,8,50,1,3,0.322,0,11.52,9635.64,14.3,749.9,1,3.93,7.47,782.6,ON,111.812,127.84,103.014,145.902,1.991,2741.235,Long Term,MASIN,,,,,Normal Scan,
6,12/6/2020,12:53:29,25.7,99.8,50,6.91039E-08,1.84531E-05,,596.192,134.383,122.006,222.266,203.089,0,85.627,78.995,292.565,271.221,378.811,353.092,275.639,256.72,532.521,411.783,386.703,489.567,462.012,546.278,779.859,515.053,629.056,629.872,972.773,1218.567,932.89,706.618,1093.508,1495.293,1478.845,1701.071,1447.538,1855.062,2042.666,1837.263,2065.336,2097.179,2087.319,1896.566,2494.351,2127.362,2080.654,2391.669,2163.673,2138.466,2243.237,2278.342,2321.643,2109.352,2396.459,2627.152,2259.515,3096.859,2873.479,3097.82,2892.713,3188.238,3388.686,3198.167,3319.243,3479.92,3573.693,3612.493,3909.525,3218.349,3511.472,3904.09,3642.726,3442.182,3472.151,2838.823,2908.076,2761.862,2992.55,2414.543,2189.399,2406.591,2012.18,1842.303,1661.279,1729.578,1569.276,1312.571,905.104,1046.578,959.526,859.112,735.852,521.209,501.843,463.504,471.862,335.584,199.412,259.624,268.705,153.779,120.979,52.783,71.674,127.792,74.431,18.845,38.444,58.846,19.883,0,0,0,300,8,50,1,3,0.322,0,11.51,9637.67,14.3,749.9,1,3.93,7.47,782.6,ON,118.128,134.275,108.664,145.902,1.978,2514.686,Long Term,MASIN,,,,,Normal Scan,
7,12/6/2020,12:58:59,25.9,99.8,49.9,6.91626E-08,1.84626E-05,,911.627,0,121.427,0,202.162,370.568,511.508,471.917,364.148,472.645,565.879,644.696,768.689,767.104,675.109,592.503,470.824,1016.062,613.69,1005.405,1153.989,1086.588,723.563,1073.254,1000.418,1141.555,1390.787,1246.986,1434.011,1306.913,1900.616,1673.432,1908.529,1719.529,2029.573,2166.096,2484.854,2276.371,2260.758,2302.731,2105.897,2443.889,2033.049,2320.093,2372.267,2154.667,2391.363,2176.484,2064.638,2420.344,2100.478,2671.865,2952.83,2699.421,2777.363,3147.02,3060.672,3127.207,3339.41,3444.483,3349.43,3531.995,4327.495,3220.357,3961.949,3754.836,3658.731,3602.095,3471.288,3615.745,3044.052,3397.053,3502.461,2784.497,2993.679,2622.478,2273.445,2238.953,2167.572,1911.453,2009.159,1737.943,1299.801,1325.966,1324.414,1300.644,1019.445,931.102,779.13,745.35,705.257,541.256,439.059,318.638,242.885,230.474,150.686,187.38,120.61,157.871,71.456,54.601,0,18.788,19.164,19.556,0,20.244,0,0,300,8,50,1,3,0.323,0,11.51,9641.25,14.3,749.9,1,3.93,7.47,781.5,ON,114.282,130.378,102.871,135.773,2.07,2716.1,Long Term,MASIN,,,,,Normal Scan,
8,12/6/2020,13:04:29,26,99.8,49.8,6.91919E-08,1.84674E-05,,611.674,688.868,750,0,103.909,190.346,175.053,242.124,672.236,553.716,837.473,480.184,786.9,994.301,690.55,605.844,612.531,996.74,666.085,741.076,1132.524,941.033,1023.376,1105.428,1581.113,1490.526,1257.853,1205.225,1327.987,1567.455,1637.683,1577.846,2073.909,2105.24,2188.525,2081.693,2458.006,2299.492,2241.216,2747.164,2339.685,2503.257,2232.498,2337.014,2420.741,1872.145,2884.21,2199.913,2671.99,2522.366,2706.641,2538.17,2544.976,2955.86,3245.251,3174.4,3445.543,2994.086,3264.11,3726.396,3261.049,4173.335,3586.289,4001.879,3956.841,3759.799,4037.737,3309.621,3452.173,3651.587,3229.06,3028.954,3125.399,2939.419,3150.617,2440.296,2831.389,2478.708,1991.94,2121.859,2096.119,1604.534,1592.971,1225.714,1314.057,1147.449,1004.406,1088.854,805.225,614.147,621.348,457.444,350.525,356.137,444.225,200.724,289.21,242.31,35.013,160.401,108.905,92.466,37.697,57.268,0,19.869,20.14,0,0,0,300,8,50,1,3,0.318,0,11.51,9642.8,14.3,749.9,1,3.93,7.48,788.2,ON,111.73,129.135,101.36,130.975,2.085,2820.895,Long Term,MASIN,,,,,Normal Scan,
9,12/6/2020,13:09:59,26.1,99.8,49.6,6.92213E-08,1.84721E-05,,296.916,0,121.537,0,101.163,0,170.626,78.708,218.635,405.388,440.391,469.144,549.375,818.692,627.197,273.593,599.515,813.223,652.323,798.555,450.809,854.369,1005.198,926.798,1539.995,1117.219,761.244,1036.653,1526.036,1624.358,1527.396,1449.753,1930.291,1784.14,2008.909,2138.006,1922.148,2399.488,2430.236,2509.487,2634.636,2591.171,2964.476,2852.292,2303.004,2457.537,2599.951,2857.058,2787.685,2714.156,2305.394,3089.457,2764.417,2702.451,3015.19,3453.809,3280.559,3523.641,3410.772,3681.372,3561.341,3372.468,3943.597,3891.773,3473.884,3827.709,3883.308,3684.746,3342.433,3545.171,3260.514,3589.253,3463.461,3029.785,2946.287,2838.04,2268.256,2569.59,2416.376,2126.953,1706.349,1775.552,1514.132,1496.005,1252.966,1187.021,914.684,721.414,618.529,798.222,688.754,573.49,549.101,414.276,242.912,214.044,234.427,153.325,155.087,140.342,53.598,0,18.553,0,19.166,39.116,39.649,0,0,0,300,8,50,1,3,0.323,0,11.51,9645.8,14.3,749.9,1,3.93,7.47,781.6,ON,114.555,132.016,106.51,135.773,1.981,2764.409,Long Term,MASIN,,,,,Normal Scan,
10,12/6/2020,13:15:29,26.3,99.8,49.3,6.928E-08,1.84816E-05,,594.425,267.972,0,0,0,0,170.752,236.291,364.637,338.037,440.658,293.387,549.674,460.759,530.981,501.832,942.545,569.524,1010.017,714.998,728.532,1318.107,909.528,752.293,1022.618,1226.638,1024.086,1459.523,1354.587,1609.161,1529.07,1557.132,1784.617,2229.817,1903.616,2190.129,2005.016,2370.085,2107.33,2301.199,2492.764,2476.301,2204.018,2445.323,2580.86,2789.235,2544.718,2685.723,2513.774,2642.991,2699.82,2653.928,2588.857,2594.948,3067.055,3134.232,3392.051,3605.053,3133.521,3498.512,3816.414,3745.826,4323.149,3818.503,3861.538,3503.621,3774.42,3668.832,3683.167,3404.32,3619.693,3098.863,3248.704,2954.073,2639.639,2300.425,2327.084,2579.889,2224.899,1796.887,1765.196,1372.522,1458.975,1283.129,1103.268,1133.767,1024.892,924.686,668.65,556.54,470.812,683.207,269.797,411.118,161.957,279.928,167.466,170.383,155.108,52.634,89.34,54.613,37.11,0,38.336,19.56,0,20.248,0,0,300,8,50,1,3,0.323,0,11.5,9648.16,14.3,749.9,1,3.93,7.47,781.8,ON,113.75,129.824,104.475,135.773,1.993,2716.82,Long Term,MASIN,,,,,Normal Scan,
11,12/6/2020,13:20:59,26.3,99.8,49,6.928E-08,1.84816E-05,,445.818,267.972,0,0,0,92.786,170.752,393.819,218.782,676.077,692.475,645.463,274.837,409.559,434.443,501.837,980.312,655.696,882.949,915.891,1414.686,1087.409,940.885,1166.417,1226.729,1133.624,1297.504,1708.425,1480.185,1792.656,1663.811,1839.782,1973.593,2477.005,2009.717,1950.434,2114.976,2103.391,2148.348,2935.088,2450.484,2166.119,2995.072,2931.113,2583.865,2494.526,2434.914,2735.421,2728.687,2882.991,2676.862,2926.301,3065.494,2705.874,3342.121,3049.635,3488.384,3350.21,3592.877,3744.189,3653.273,3403.569,3771.187,4064.37,4049.363,4015.76,3665.642,3325.379,3802.458,3919.331,2959.822,3409.859,3582.4,2938.238,2714.759,2945.636,2586.479,1920.186,2246.48,1917.177,1937.69,1838.262,1680.577,1268.852,1521.749,1466.269,941.244,969.645,941.311,818.944,626.911,527.919,501.903,302.773,259.134,296.601,267.735,255.571,155.108,175.45,89.34,18.204,37.11,75.169,0,0,19.827,0,0,0,300,8,50,1,3,0.323,0,11.5,9648.16,14.3,749.9,1,3.93,7.47,781.8,ON,112.506,130.638,103.987,140.746,2.025,2864.905,Long Term,MASIN,,,,,Normal Scan,
