Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1230,12/12/2019,18:14:24,19.9,99.0,52.7,6.79475e-008,1.81761e-005,,1281.521,1386.498,1329.927,1420.204,1610.173,1590.782,1470.644,1696.746,1433.499,1472.422,1493.238,1457.366,1650.898,1835.195,1698.634,1533.205,1328.975,1448.803,1408.907,1542.443,1527.576,1521.984,1339.661,1458.168,1700.996,1610.251,1605.022,1520.635,1522.304,1460.550,1364.578,1346.972,1344.742,1312.017,1541.404,1432.951,1434.589,1462.196,1477.222,1450.927,1379.732,1401.407,1485.482,1333.753,1265.748,1352.728,1260.650,1328.803,1349.473,1280.248,1364.614,1381.811,1388.378,1286.619,1311.804,1290.695,1319.674,1318.400,1283.658,1313.378,1328.119,1386.495,1404.194,1285.465,1319.677,1246.669,1159.817,1112.660,1148.797,1148.446,1285.518,1252.440,1218.834,1094.318,1307.151,1405.500,1405.137,1542.019,1338.579,1353.169,1188.199,1145.594,1119.464,1142.640,1179.274,1078.694,1168.159,1079.877,1119.839,1075.692,1157.879,1108.534,1141.140,1074.698,1033.466,1084.508,1036.792,1062.576,1036.676,1241.126,50,8,50,1,15.000,0.100,0.00,10.15,9828.42,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.303,26.615,15.569,6.378,2.462,2.166421e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1231,12/12/2019,18:15:44,19.9,98.9,52.7,6.80162e-008,1.81761e-005,,1415.065,1396.665,1387.612,1403.210,1344.190,1220.826,1617.479,1429.172,1442.141,1318.575,1343.894,1363.925,1360.293,1394.144,1362.065,1521.295,1513.211,1513.016,1459.465,1333.808,1291.170,1434.769,1595.395,1393.852,1525.462,1321.599,1492.628,1371.242,1232.449,1509.875,1359.603,1383.571,1376.880,1535.220,1395.686,1385.700,1403.273,1355.345,1423.527,1535.094,1426.425,1447.331,1382.395,1437.097,1489.524,1520.747,1494.509,1378.683,1346.488,1578.425,1495.847,1377.454,1396.629,1434.954,1256.764,1291.284,1163.378,1267.013,1395.478,1179.763,1220.737,1200.321,1287.132,1361.958,1323.270,1381.701,1318.869,1375.357,1251.043,1313.039,1301.651,1373.706,1386.829,1384.000,1287.851,1280.207,1243.278,1141.974,1220.343,1221.610,1235.320,1220.212,1269.264,1338.742,1311.081,1295.563,1120.206,1121.837,1222.207,1029.801,1092.624,1077.097,1023.115,1029.315,1075.269,1132.206,1114.689,1015.496,1050.339,1016.657,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.605,27.371,15.953,6.153,2.494,2.091443e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1232,12/12/2019,18:17:04,19.9,99.0,52.7,6.79475e-008,1.81761e-005,,1265.540,1396.745,1422.320,2027.610,1469.151,1510.316,1439.916,1308.196,1423.275,1335.395,1410.054,1505.226,1412.023,1313.612,1261.236,1342.531,2689.775,2724.808,2106.698,1627.045,1484.334,1436.638,1531.483,1699.776,1537.168,1527.153,1590.849,1764.274,1590.239,1531.921,1559.007,1602.528,1541.603,1551.906,1402.485,1498.598,1392.409,1380.643,1412.113,1489.311,1403.610,1281.715,1296.391,1386.753,1429.950,1498.937,1443.256,1418.548,1452.733,1517.278,1573.819,1577.659,1509.067,1500.584,1395.875,1375.550,1409.693,1401.355,1312.923,1296.810,1314.820,1540.177,1382.033,1304.855,1322.348,1255.281,1273.341,1246.478,1536.929,1431.138,1377.926,1328.870,1376.086,1467.442,1449.257,1406.916,1355.383,1359.535,1265.794,1249.314,1457.050,1536.907,1473.364,1394.076,1275.303,1312.043,1263.896,1272.123,1330.476,1281.231,1329.835,1195.293,1181.516,1178.675,1188.866,1176.504,1116.155,1339.340,1387.791,1376.006,50,8,50,1,15.000,0.100,0.00,10.15,9828.42,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.580,27.628,15.985,6.854,2.496,2.277133e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1233,12/12/2019,18:18:24,19.9,98.9,52.7,6.80162e-008,1.81761e-005,,1529.053,1446.916,1423.357,1424.733,1333.797,1459.827,1330.723,1448.570,1357.741,1293.412,1402.445,1344.611,1506.993,1415.401,1328.144,1332.223,1535.116,1402.399,1586.742,1603.850,1538.048,1431.829,1655.460,1486.739,1274.969,1384.142,1338.816,1323.886,1317.210,1408.407,1440.805,1461.180,1302.832,1190.927,1368.970,1415.080,1348.501,1328.379,1400.014,1438.768,1458.628,1410.923,1459.582,1394.281,1342.859,1403.321,1537.441,1561.447,1483.200,1498.589,1737.911,1730.141,1751.378,1632.459,1392.909,1361.438,1371.227,1357.361,1446.801,1350.609,1353.753,1308.790,1330.309,1331.383,1393.965,1433.764,1350.082,1359.100,1378.162,1318.430,1567.155,1621.404,1385.481,1261.421,1244.141,1268.346,1277.829,1249.332,1216.453,1233.714,1255.062,1199.500,1264.242,1498.558,1242.101,1239.331,1221.367,1196.219,1066.238,1266.422,1231.160,1115.840,1108.816,1034.891,1094.681,1108.557,1124.809,1021.539,1095.311,1132.891,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.729,27.712,16.084,6.153,2.513,2.127978e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1234,12/12/2019,18:19:44,19.9,98.9,52.7,6.80162e-008,1.81761e-005,,1415.862,1509.290,1444.508,1391.913,1387.825,1510.450,1500.121,1804.365,1494.962,1389.148,1403.971,1525.997,1616.249,1447.826,1394.006,1425.085,1592.618,1537.689,1536.324,1535.136,1562.989,1544.387,1525.265,1580.462,1424.640,1338.288,1336.585,1317.010,1369.018,1354.667,1314.273,1252.101,1352.659,1452.946,1437.568,1427.764,1382.289,1360.325,1380.961,1368.339,1338.232,1222.702,1313.351,1247.726,1382.332,1307.224,1368.884,1287.994,1405.987,1345.628,1386.216,1285.949,1315.304,1379.663,1180.798,1320.934,1244.338,1144.573,1233.884,1205.564,1275.609,1204.087,1118.651,1241.698,1206.976,1153.026,1208.301,1309.954,1357.419,1303.842,1279.919,1159.746,1278.425,1513.133,1286.490,1170.000,1154.073,1338.545,1266.690,1140.199,1194.660,1124.755,1119.616,1331.485,1226.506,1079.565,1301.989,1482.570,1404.033,1421.839,1279.900,1334.817,1281.178,1132.737,1055.243,1002.607,1047.027,1148.943,1123.859,1030.672,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.246,27.098,15.589,6.153,2.499,2.141974e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1235,12/12/2019,18:21:04,19.9,99.0,52.7,6.79475e-008,1.81761e-005,,1485.982,1405.052,1325.913,1370.841,1589.660,1408.885,1370.423,1442.689,1403.202,1369.818,1565.559,1455.432,1383.765,1436.265,1412.172,1479.094,1522.926,1455.667,1360.222,1370.926,1290.423,1395.518,1704.677,1642.771,1451.873,1428.603,1373.251,1242.331,1257.639,1416.690,1345.277,1434.145,1370.058,1650.103,1588.625,1580.465,1434.545,1416.427,1296.284,1522.255,1472.751,1423.122,1422.740,1399.802,1519.508,1357.852,1374.925,1352.785,1368.622,1317.235,1431.316,1546.528,1416.352,1585.884,1670.315,1563.785,1460.613,1464.483,1393.278,1333.683,1326.893,1356.082,1337.145,1291.459,1230.178,1233.066,1381.974,1306.616,1254.870,1203.493,1283.545,1173.234,1338.036,1317.097,1204.893,1274.251,1262.501,1086.118,1108.738,1261.258,1283.449,1185.139,1122.581,1143.201,1142.570,1231.998,1269.621,1093.298,1428.431,1436.369,1310.546,1206.818,1257.337,1145.505,1164.935,1178.349,1062.561,1017.455,1005.168,1073.396,50,8,50,1,15.000,0.100,0.00,10.15,9828.42,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.564,27.487,15.954,6.153,2.501,2.130546e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1236,12/12/2019,18:22:24,19.9,99.0,52.6,6.79475e-008,1.81761e-005,,1537.904,1408.427,1428.100,1501.480,1317.790,1327.690,1319.401,1226.329,1376.775,1371.866,1404.088,1312.088,1347.658,1342.204,1234.203,1318.012,1393.273,1614.057,1499.824,1575.997,1348.869,1402.282,1381.214,1407.588,1401.634,1401.865,1536.192,1502.315,1449.289,1405.564,1361.174,1263.134,1257.370,1269.060,1359.843,1282.433,1248.238,1308.789,1338.875,1341.408,1371.292,1403.253,1332.854,1422.175,1473.680,1371.251,1294.600,1367.482,1203.631,1171.214,1157.502,1198.012,1258.706,1259.949,1235.787,1203.242,1227.635,1225.231,1359.543,1445.282,1491.497,1452.449,1285.549,1251.911,1150.930,1208.228,1289.293,1152.602,1181.681,1231.635,1247.764,1181.720,1290.101,1410.080,1306.786,1507.884,1368.432,1328.221,1325.564,1237.718,1249.169,1302.977,1264.297,1127.464,1165.522,1149.891,1062.963,1006.651,1044.082,1089.756,987.327,1013.491,993.228,955.418,1049.074,967.563,1050.969,1098.007,1131.194,1040.862,50,8,50,1,15.000,0.100,0.00,10.15,9828.42,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.524,27.137,15.757,6.153,2.496,2.047905e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1237,12/12/2019,18:23:44,19.9,98.9,52.6,6.80162e-008,1.81761e-005,,1336.871,1323.639,1350.126,1375.316,1352.064,1378.129,1493.885,1314.835,1395.505,1420.583,1419.152,1330.408,1552.499,1465.128,1562.730,1431.892,1386.142,1319.912,1300.084,1335.498,1397.105,1371.117,1395.817,1425.914,1318.298,1330.473,1307.198,1337.921,1418.078,1366.188,1298.680,1282.344,1290.514,1345.721,1481.828,1444.293,1308.785,1252.020,1253.568,1231.643,1340.819,1480.307,1607.397,1415.458,1433.385,1335.649,1343.766,1345.422,1211.372,1334.133,1459.926,1485.943,1342.743,1348.574,1336.967,1342.591,1325.548,1362.196,1221.016,1246.897,1280.463,1229.507,1344.670,1386.486,1615.653,1485.349,1468.602,1213.583,1354.557,1315.076,1211.411,1200.339,1094.163,1135.285,1195.333,1371.269,1231.104,1227.943,1086.801,1150.529,1123.385,1115.316,1256.526,1192.137,1259.099,1059.143,1026.955,1069.628,1003.345,1049.249,969.485,1015.437,1068.016,1034.096,1107.725,1133.846,1111.500,1077.641,955.951,1064.237,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.436,27.192,15.856,6.153,2.489,2.045906e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1238,12/12/2019,18:25:04,19.9,98.9,52.6,6.80162e-008,1.81761e-005,,1369.284,1411.931,1401.388,1409.037,1510.999,1392.748,1362.322,1339.180,1317.829,1293.210,1215.056,1312.283,1396.774,1420.469,1361.087,1497.756,1385.060,1339.305,1210.331,1302.771,1239.017,1274.498,1277.273,1349.449,1220.098,1272.984,1363.765,1369.502,1350.159,1316.254,1274.378,1335.126,1347.834,1421.137,1335.888,1452.172,1399.626,1264.607,1351.057,1390.153,1458.061,1579.613,1504.265,1499.564,1424.743,1436.740,1326.040,1344.523,1406.776,1417.079,1311.441,1320.430,1358.419,1196.216,1257.694,1224.997,1268.520,1428.342,1511.546,1393.658,1513.025,1401.640,1328.519,1354.697,1294.163,1262.816,1292.904,1135.968,1040.294,1066.168,1226.947,1205.186,1147.608,1235.762,1397.199,1317.987,1275.270,1205.287,1066.167,1109.475,1175.755,1101.870,1100.159,1198.334,1121.463,1180.035,1244.942,1355.271,1186.142,1117.824,1124.280,1165.840,1159.409,1181.111,1174.103,1181.780,1062.755,1043.842,1188.131,1116.525,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.472,27.843,16.013,6.153,2.525,2.031526e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1239,12/12/2019,18:26:24,19.9,98.9,52.6,6.80162e-008,1.81761e-005,,1283.315,1320.951,1374.524,1309.607,1190.854,1317.454,1503.908,1361.250,1370.850,1345.116,1535.620,1515.993,1445.109,1603.697,1639.911,1562.069,1749.098,1592.361,1667.374,1627.869,1463.745,1413.543,1538.498,1684.833,1383.875,1376.041,1393.674,1460.384,1422.118,1385.518,1326.561,1440.216,1449.980,1383.745,1464.789,1304.902,1315.793,1406.954,1347.683,1377.474,1478.404,1352.160,1369.755,1461.104,1365.047,1306.452,1339.384,1242.838,1301.480,1157.621,1362.041,1403.938,1376.805,1319.043,1405.186,1218.229,1544.462,1461.421,1495.994,1520.052,1496.435,1451.425,1518.786,1430.034,1378.626,1392.944,1301.530,1300.367,1293.443,1204.050,1211.027,1135.381,1199.054,1162.075,1086.599,1144.318,1389.329,1250.292,1273.777,1222.306,1250.975,1155.424,1217.902,1274.325,1176.707,1115.081,1052.417,1031.132,1099.596,1098.671,1080.421,1218.098,1244.940,1065.807,1108.616,1055.198,960.468,1133.275,1114.825,1052.659,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.611,27.191,15.935,6.153,2.473,2.108965e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1240,12/12/2019,18:27:44,19.9,98.9,52.6,6.80162e-008,1.81761e-005,,1348.619,1553.456,1643.094,1425.038,1409.864,1607.761,1609.357,1682.564,1591.265,1574.177,1614.948,1650.594,1490.047,1532.126,1560.575,1476.336,1530.154,1483.186,1470.806,1392.456,1472.609,1527.283,1405.524,1554.194,1516.901,1437.276,1460.063,1701.677,1568.668,1495.730,1364.114,1475.624,1412.056,1365.610,1468.844,1490.804,1600.585,1582.455,1422.742,1424.768,1291.997,1343.580,1350.180,1411.379,1315.052,1485.774,1342.994,1324.296,1395.208,1435.217,1384.008,1378.229,1305.111,1411.532,1614.638,1511.281,1385.118,1408.706,1271.877,1476.065,1268.031,1366.021,1361.743,1348.446,1328.751,1234.463,1260.549,1309.249,1267.100,1359.853,1403.214,1353.250,1345.041,1285.036,1169.905,1193.261,1271.828,1212.086,1182.739,1203.698,1222.454,1203.045,1251.605,1175.006,1263.235,1258.669,1203.742,1132.558,1093.116,1120.757,1232.225,1122.118,1127.461,1189.385,1133.521,1111.172,1209.626,1118.200,1116.460,1105.462,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.204,26.661,15.525,6.378,2.474,2.218709e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1241,12/12/2019,18:29:04,19.9,98.9,52.6,6.80162e-008,1.81761e-005,,1428.235,1364.214,1335.040,1267.250,1367.104,1392.939,1397.988,1488.388,1458.258,1467.198,1331.972,1302.925,1398.524,1441.838,1439.806,1328.934,1442.839,1419.809,1474.309,1468.867,1642.045,1578.430,1377.774,1347.973,1344.624,1368.802,1275.819,1309.014,1379.948,1348.581,1366.631,1351.726,1276.385,1261.348,1297.670,1262.052,1511.807,2043.512,1471.414,1312.532,1340.356,1259.981,1343.047,1234.289,1229.047,1323.504,1386.795,1343.607,1216.433,1260.692,1304.907,1280.049,1324.128,1424.575,1391.162,1364.951,1277.001,1248.989,1320.870,1235.003,1294.617,1293.597,1322.674,1303.822,1412.736,1314.507,1258.925,1198.628,1233.799,1359.466,1310.767,1352.971,1307.407,1320.165,1247.154,1211.187,1227.856,1197.940,1181.837,1259.023,1181.118,1168.012,1244.244,1221.354,1206.687,1150.592,1159.626,1082.099,1156.018,1163.345,1166.838,1256.047,1150.111,1101.700,1166.394,1053.302,1023.575,1074.288,1030.021,998.532,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.566,27.414,15.893,6.153,2.500,2.064211e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1242,12/12/2019,18:30:24,19.9,98.9,52.6,6.80162e-008,1.81761e-005,,1356.099,1530.186,1448.956,1419.743,1485.724,1584.167,1575.075,1503.002,1477.538,1456.787,1540.679,1544.891,1523.651,1447.141,1554.177,1477.186,1486.464,1635.705,1464.792,1419.961,1371.614,1502.771,1609.974,1604.981,1534.519,1433.260,1410.821,1332.106,1298.407,1303.791,1366.535,1352.284,1579.919,1459.623,1294.701,1435.386,1522.360,1462.946,1447.625,1382.369,1434.370,1359.470,1538.147,1602.373,1481.306,1558.177,1611.951,1569.296,1465.366,1305.318,1477.946,1446.936,1346.342,1250.875,1316.991,1444.333,1399.976,1448.997,1283.232,1428.639,1352.942,1320.264,1306.023,1336.484,1414.472,1413.183,1358.650,1453.707,1261.200,1296.142,1258.378,1230.575,1351.249,1296.196,1398.029,1290.285,1328.005,1168.517,1359.456,1294.856,1203.929,1320.693,1192.168,1264.066,1196.667,1215.006,1211.402,1191.034,1228.624,1236.318,1185.386,1149.950,1209.581,1209.656,1204.973,1224.732,1211.288,1153.554,1183.433,1183.081,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.412,27.406,15.840,6.378,2.503,2.189402e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1243,12/12/2019,18:31:44,19.9,98.9,52.6,6.80162e-008,1.81761e-005,,1482.042,1623.492,1454.272,1484.734,1475.040,1350.225,1344.166,1383.108,1485.964,1479.826,1524.548,1336.048,1413.405,1421.412,1520.569,1482.670,1545.337,1497.028,1438.340,1345.200,1424.514,1528.871,1484.001,1503.348,1445.186,1522.230,1427.333,1485.804,1526.496,1454.231,1452.911,1579.162,1652.334,1555.056,1638.276,1616.574,1583.365,1425.206,1282.833,1478.368,1484.546,1589.264,1642.037,1713.083,1660.225,1734.986,1767.773,1617.627,1490.961,1523.346,1449.814,1576.536,1434.559,1441.955,1513.983,1410.813,1468.207,1406.135,1600.859,1553.190,1632.431,1549.170,1625.890,1550.671,1587.431,1723.965,1607.048,1767.843,1781.457,1757.423,1866.067,1682.375,1688.956,1605.149,1619.336,1622.531,1482.606,1418.697,1379.203,1304.234,1251.688,1399.189,1448.218,1390.656,1335.852,1279.024,1237.463,1200.100,1255.912,1347.221,1356.108,1331.836,1430.547,1316.397,1396.586,1355.522,1282.061,1454.643,1410.571,1357.397,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,12.045,29.234,16.698,6.378,2.571,2.253370e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1244,12/12/2019,18:33:04,19.9,98.9,52.5,6.80162e-008,1.81761e-005,,1522.011,1573.491,1395.459,1431.196,1547.772,1539.136,1677.338,1940.584,1841.785,1719.043,1754.657,1591.229,1704.146,1654.516,1599.388,1611.870,1652.269,1527.312,1541.935,1463.948,1522.220,1493.458,1446.088,1528.037,1518.384,1413.776,1465.323,1520.048,1539.714,1441.197,1463.411,1596.912,1506.077,1463.934,1493.561,1404.522,1381.627,1552.350,1479.274,1436.907,1415.174,1422.909,1497.601,1502.051,1579.425,1612.924,1520.777,1552.271,1456.568,1567.191,1615.809,1533.770,1413.569,1685.607,1471.440,1469.258,1510.088,1520.681,1588.583,1566.995,1485.242,1608.405,1630.419,1755.404,1612.416,1406.288,1408.926,1739.561,1529.800,1593.347,1451.541,1271.502,1350.454,1334.639,1347.378,1342.240,1326.453,1259.113,1244.510,1176.470,1247.577,1150.689,1261.661,1230.336,1296.924,1409.793,1476.764,1500.490,1469.707,1314.523,1261.903,1375.455,1417.019,1377.351,1236.363,1200.441,1169.894,1202.453,1093.296,1048.961,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.230,27.340,15.815,6.153,2.504,2.332024e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1245,12/12/2019,18:34:24,19.9,98.9,52.5,6.80162e-008,1.81761e-005,,1460.278,1505.246,1540.255,1630.178,1511.980,1486.570,1821.750,1642.041,1672.319,1615.102,1413.250,1388.214,1454.291,1494.302,1462.096,1500.902,1661.353,1653.605,1607.458,1513.284,1550.243,1519.511,1566.546,1701.552,1547.013,1479.476,1572.390,1515.810,1585.815,1509.682,1607.455,1523.432,1496.086,1703.309,1544.081,1509.324,1429.705,1395.680,1453.680,1633.454,1498.353,1325.076,1668.043,1444.932,1367.644,1381.015,1373.164,1414.852,1422.414,1446.100,1318.669,1393.768,1247.628,1353.552,1310.685,1275.832,1314.171,1257.244,1262.299,1342.131,1290.014,1325.334,1461.835,1372.383,1419.316,1714.982,1580.431,1357.240,1261.122,1280.066,1275.667,1412.383,1534.097,1488.366,1341.298,1314.144,1442.318,1390.705,1443.463,1340.521,1316.757,1205.531,1253.676,1309.988,1293.296,1293.197,1377.194,1365.267,1313.734,1265.158,1454.860,1348.477,1243.449,1177.983,1099.325,1129.578,1101.846,1207.393,1110.881,1047.336,50,8,50,1,15.000,0.100,0.00,10.14,9823.62,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.416,27.148,15.714,6.153,2.495,2.272710e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1246,12/12/2019,18:35:44,19.8,98.8,52.6,6.80555e-008,1.81713e-005,,1486.992,1598.964,1399.418,1475.752,1434.409,1433.975,1290.258,1257.987,1268.239,1407.975,1391.683,1531.651,1373.371,1344.349,1411.310,1482.976,1551.686,1546.778,1577.824,1381.914,1586.525,1632.810,1598.318,1483.608,1524.573,1502.848,1521.659,1462.547,1543.089,1532.775,1358.021,1366.879,1252.970,1371.933,1385.401,1264.579,1358.226,1303.162,1432.719,1335.993,1373.233,1473.492,1377.320,1461.779,1410.323,1353.790,1442.053,1288.630,1352.674,1319.354,1389.098,1525.019,1445.500,1498.730,1483.649,1508.251,1585.025,1529.728,1450.799,1496.311,1422.701,1356.892,1367.435,1326.561,1381.974,1346.655,1419.280,1332.542,1200.975,1285.366,1225.438,1310.884,1241.762,1322.956,1164.661,1285.230,1290.232,1346.446,1344.749,1427.559,1276.081,1240.429,1213.460,1298.161,1255.003,1147.763,1250.318,1253.429,1176.940,1205.550,1374.988,1295.568,1191.663,1141.364,1133.487,1106.725,1113.010,1093.202,1086.805,1016.443,50,8,50,1,15.000,0.100,0.00,10.13,9818.29,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.681,27.595,15.981,6.378,2.509,2.144718e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1247,12/12/2019,18:37:04,19.8,98.9,52.5,6.79867e-008,1.81713e-005,,1445.042,1426.003,1494.305,1463.806,1592.645,1547.010,1483.084,1386.213,1545.097,1684.313,1600.483,1441.534,1409.255,1455.419,1539.396,1561.367,1571.251,1501.435,1720.202,1814.373,1685.130,1668.875,1616.619,1634.015,1747.299,1771.573,1719.979,1540.399,1407.724,1506.326,1621.558,1564.032,1447.952,1471.145,1589.107,1466.060,1440.797,1540.446,1434.771,1377.737,1504.788,1505.731,1454.981,1465.727,1444.317,1516.653,1411.381,1370.947,1298.156,1507.586,1336.842,1441.807,1365.498,1501.724,1580.194,1448.832,1427.976,1343.951,1417.402,1535.250,1425.538,1351.116,1385.804,1324.521,1247.374,1396.557,1357.882,1366.783,1362.423,1275.499,1313.556,1462.122,1562.100,1328.054,1267.080,1226.312,1395.583,1367.297,1304.775,1362.765,1402.160,1247.758,1205.355,1260.094,1324.188,1202.107,1241.542,1158.329,1210.494,1276.817,1189.700,1183.885,1502.527,1319.918,1240.107,1186.242,1082.128,1353.087,1720.004,1209.910,50,8,50,1,15.000,0.100,0.00,10.14,9823.09,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.735,27.621,15.942,6.153,2.501,2.267524e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
1248,12/12/2019,18:38:24,19.8,98.8,52.5,6.80555e-008,1.81713e-005,,1549.819,1438.300,1440.194,1396.204,1532.238,1504.726,1661.265,1636.356,1505.501,1392.854,1466.132,1546.043,1513.285,1628.147,1620.409,2140.397,1834.381,1668.482,1738.431,1638.539,1700.005,1602.323,1601.842,1720.559,1536.248,1541.199,1531.553,1452.728,1446.115,1567.133,1408.172,1397.785,1536.736,1539.736,1452.324,1406.579,1389.346,1328.506,1423.152,1541.321,1563.470,1496.919,1534.521,1558.258,1658.142,1664.524,1565.042,1711.910,1689.997,1667.665,1550.273,1463.670,1390.999,1411.696,1593.509,1607.241,1442.237,1583.081,1420.143,1555.007,1700.558,1738.089,1526.797,1604.785,1635.645,1558.382,1619.946,1537.744,1428.405,1714.454,1583.388,1430.795,1474.139,1473.839,1535.339,1528.021,1429.099,1518.828,1582.967,1371.050,1380.972,1251.121,1197.391,1355.934,1360.265,1274.639,1307.422,1270.464,1301.252,1224.225,1122.767,1202.000,1236.260,1182.594,1288.807,1226.866,1200.123,1060.651,1034.019,1073.499,50,8,50,1,15.000,0.100,0.00,10.13,9818.29,6.04,220.7,1.000,3.98,1.64,1.23e+03,ON,11.617,27.486,16.067,6.153,2.494,2.322960e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
